full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
wagen Polo 1.2 MPI Trendline,320000.0,2015,1198,Third Party,Manual,30000,Third Owner,Petrol,74.0,5.0,18.78,Hatchback,Delhi,2,1,1,1,3
A6 45 TFSI Premium Plus BSVI,4950000.0,2020,1984,Third Party,Automatic,5500,First Owner,Petrol,241.3,5.0,14.11,Sedan,Delhi,2,2,1,2,1
i Swift LXI,250000.0,2011,1197,Third Party,Manual,80000,Second Owner,Petrol,85.8,5.0,18.6,Hatchback,Delhi,2,1,1,1,2
oster Sharp 7-Str,3450000.0,2021,1996,Comprehensive,Automatic,33000,First Owner,Diesel,215.01,7.0,12.4,SUV,Delhi,5,2,2,3,1
ai Venue S Plus,850000.0,2022,1197,Third Party,Manual,20000,First Owner,Petrol,81.86,5.0,17.52,SUV,Delhi,2,1,1,3,1
i Swift VDI BSIV,400000.0,2016,1248,Third Party,Manual,50000,First Owner,Diesel,74.0,5.0,25.2,Hatchback,Delhi,2,1,2,1,1
dra Thar CRDe,793000.0,2018,2498,Third Party,Manual,40000,Second Owner,Diesel,105.0,6.0,16.55,SUV,Delhi,2,1,2,3,2
ai i10 Sportz 1.2,143000.0,2010,1197,Comprehensive,Manual,90403,Second Owner,Petrol,78.9,5.0,20.36,Hatchback,Delhi,5,1,1,1,2
n RediGO AMT 1.0 T Option,462000.0,2021,999,Zero Dep,Automatic,8755,First Owner,Petrol,67.05,5.0,22.0,Hatchback,Delhi,6,2,1,1,1
eltos HTX Diesel,1200000.0,2019,1493,Third Party,Manual,40000,First Owner,Diesel,113.43,5.0,20.8,SUV,Delhi,2,1,2,3,1
 Brio S MT,313000.0,2014,1198,Third Party,Manual,56176,Third Owner,Petrol,86.8,5.0,19.4,Hatchback,Delhi,2,1,1,1,3
lt Triber RXZ,573000.0,2020,999,Zero Dep,Manual,41387,Second Owner,Petrol,71.01,7.0,20.0,MUV,Delhi,6,1,1,4,2
ai i10 Magna 1.1L,287000.0,2014,1086,Third Party,Manual,63002,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Delhi,2,1,1,1,1
eltos GTX Plus Diesel AT,1875000.0,2021,1493,Comprehensive,Automatic,36000,First Owner,Diesel,113.43,5.0,18.0,SUV,Delhi,5,2,2,3,1
Tiago 1.2 Revotron XZ,374000.0,2016,1199,Comprehensive,Manual,51297,Second Owner,Petrol,84.0,5.0,23.84,Hatchback,Delhi,5,1,1,1,2
i Wagon R LXI CNG,250000.0,2015,998,Third Party,Manual,120000,First Owner,CNG,58.16,5.0,26.6,Hatchback,Delhi,2,1,3,1,1
i Ciaz ZXi Plus,449000.0,2016,1373,Third Party,Manual,120000,First Owner,Petrol,91.1,5.0,20.73,Sedan,Delhi,2,1,1,2,1
Q7 3.0 TDI Quattro Technology,1414000.0,2013,2967,Comprehensive,Automatic,58000,First Owner,Diesel,241.4,7.0,12.07,SUV,Delhi,5,2,2,3,1
ai i10 Era,235000.0,2012,1086,Third Party,Manual,70000,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Delhi,2,1,1,1,2
i Alto 800 LXI Opt S-CNG BSVI,400000.0,2021,796,Third Party,Manual,40000,First Owner,CNG,40.36,4.0,42.12,Hatchback,Delhi,2,1,3,1,1
 Amaze S i-VTEC,499000.0,2017,1198,Third Party,Manual,100000,First Owner,Petrol,86.7,5.0,17.8,Sedan,Delhi,2,1,1,2,1
ai i20 Asta 1.4 CRDi,330000.0,2014,1396,Third Party,Manual,100000,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Delhi,2,1,2,1,1
i Swift Dzire VXI 1.2,584000.0,2018,1197,Third Party,Manual,48368,Third Owner,Petrol,81.8,5.0,21.21,Sedan,Delhi,2,1,1,2,3
A8 L 3.0 TDI quattro,4500000.0,2015,2967,Third Party,Automatic,40000,Second Owner,Diesel,246.74,4.0,16.77,Sedan,Delhi,2,2,2,2,2
i Alto 800 LXI,305000.0,2018,796,Zero Dep,Manual,67680,First Owner,Petrol,47.33,5.0,22.05,Hatchback,Delhi,6,1,1,1,1
i Swift Dzire VXI,292000.0,2012,1197,Comprehensive,Manual,65611,First Owner,Petrol,88.5,5.0,22.41,Sedan,Delhi,5,1,1,2,1
 Brio S MT,263000.0,2013,1198,Comprehensive,Manual,56545,Second Owner,Petrol,86.8,5.0,19.4,Hatchback,Delhi,5,1,1,1,2
Freestyle Titanium Petrol BSIV,450000.0,2018,1194,Third Party,Manual,50000,First Owner,Petrol,94.68,5.0,19.0,Hatchback,Delhi,2,1,1,1,1
ai Creta 1.6 CRDi SX,800000.0,2016,1582,Third Party,Manual,50000,First Owner,Diesel,126.2,5.0,19.67,SUV,Delhi,2,1,2,3,1
ai Verna 1.6 SX VTVT,229999.99999999997,2012,1591,Third Party,Manual,100000,Third Owner,Petrol,121.3,5.0,17.01,Sedan,Delhi,2,1,1,2,3
ai Venue SX Plus Turbo DCT,1150000.0,2020,998,Third Party,Automatic,10000,Second Owner,Petrol,118.35,5.0,18.15,SUV,Delhi,2,2,1,3,2
i Vitara Brezza VDi,800000.0,2019,1248,Third Party,Manual,120000,First Owner,Diesel,88.5,5.0,24.3,SUV,Delhi,2,1,2,3,1
i Ertiga VXI,617000.0,2014,1462,Comprehensive,Manual,61829,First Owner,Petrol,101.65,7.0,20.51,MUV,Delhi,5,1,1,4,1
a Fortuner 2.8 2WD AT BSIV,2975000.0,2019,2755,Third Party,Automatic,50000,Second Owner,Diesel,174.5,7.0,12.9,SUV,Delhi,2,2,2,3,2
i Wagon R AMT VXI Plus,380000.0,2017,998,Comprehensive,Automatic,40045,Second Owner,Petrol,67.0,5.0,20.51,Hatchback,Delhi,5,2,1,1,2
i Wagon R LXI CNG,210000.0,2011,998,Comprehensive,Manual,71209,First Owner,CNG,58.2,5.0,26.2,Hatchback,Delhi,5,1,3,1,1
 City 1.5 S MT,125000.0,2009,1497,Third Party,Manual,110000,Second Owner,Petrol,116.348,5.0,17.0,Sedan,Delhi,2,1,1,2,2
i Ertiga CNG VXI,1075000.0,2020,1462,Third Party,Manual,11600,Second Owner,CNG,91.19,7.0,34.77333333333333,MUV,Delhi,2,1,3,4,2
i Swift Dzire LDI,280000.0,2014,1248,Third Party,Manual,110000,First Owner,Diesel,74.0,5.0,23.4,Sedan,Delhi,2,1,2,2,1
ai i10 Magna 1.2 iTech SE,190000.0,2012,1197,Third Party,Manual,50000,Second Owner,Petrol,78.9,5.0,20.36,Hatchback,Delhi,2,1,1,1,2
i Ciaz VDI SHVS,470000.0,2016,1248,Third Party,Manual,40000,First Owner,Diesel,88.5,5.0,28.09,Sedan,Delhi,2,1,2,2,1
i XL6 Zeta,890000.0,2020,1462,Third Party,Manual,30000,First Owner,Petrol,103.2,6.0,19.01,MUV,Delhi,2,1,1,4,1
ai Verna SX,1300000.0,2023,1497,Third Party,Manual,10000,First Owner,Petrol,113.18,5.0,18.6,Sedan,Delhi,2,1,1,2,1
i Alto LX,114999.99999999999,2007,796,Third Party,Manual,120000,Fourth Owner,Petrol,46.3,5.0,19.7,Hatchback,Delhi,2,1,1,1,4
